dataset,phase,classifier,Accuracy (mean±std),F1 (mean±std),n_folds
14,Before FS-DR,KNN,0.9620 ± 0.0049,0.8389 ± 0.0358,30
14,Before FS-DR,MLP,0.9733 ± 0.0052,0.8735 ± 0.0265,30
14,Before FS-DR,RF,0.9904 ± 0.0030,0.9295 ± 0.0248,30
14,Before FS-DR,SVM,0.9736 ± 0.0051,0.8653 ± 0.0270,30
15,Before FS-DR,DT,0.9829 ± 0.0028,0.8723 ± 0.0267,20
15,Before FS-DR,KNN,0.9615 ± 0.0052,0.8241 ± 0.0321,20
15,Before FS-DR,MLP,0.9728 ± 0.0059,0.8657 ± 0.0236,20
15,Before FS-DR,RF,0.9898 ± 0.0030,0.9279 ± 0.0263,20
15,Before FS-DR,SVM,0.9750 ± 0.0043,0.8673 ± 0.0267,20
16,Before FS-DR,DT,0.9819 ± 0.0027,0.8655 ± 0.0249,10
16,Before FS-DR,KNN,0.9604 ± 0.0038,0.8171 ± 0.0306,10
16,Before FS-DR,MLP,0.9740 ± 0.0055,0.8707 ± 0.0247,10
16,Before FS-DR,RF,0.9900 ± 0.0031,0.9275 ± 0.0264,10
16,Before FS-DR,SVM,0.9751 ± 0.0039,0.8696 ± 0.0311,10
1,After FS-DR,DT,0.9231 ± 0.0514,0.6453 ± 0.2365,160
1,After FS-DR,KNN,0.9382 ± 0.0532,0.6806 ± 0.2475,160
1,After FS-DR,MLP,0.9214 ± 0.0438,0.6316 ± 0.2419,160
1,After FS-DR,RF,0.9404 ± 0.0517,0.6821 ± 0.2499,160
1,After FS-DR,SVM,0.9034 ± 0.0363,0.5585 ± 0.2251,160
2,After FS-DR,DT,0.9205 ± 0.0521,0.6400 ± 0.2429,150
2,After FS-DR,KNN,0.9354 ± 0.0538,0.6749 ± 0.2533,150
2,After FS-DR,MLP,0.9195 ± 0.0446,0.6252 ± 0.2473,150
2,After FS-DR,RF,0.9381 ± 0.0525,0.6769 ± 0.2562,150
2,After FS-DR,SVM,0.9025 ± 0.0373,0.5538 ± 0.2318,150
3,After FS-DR,DT,0.9194 ± 0.0537,0.6465 ± 0.2501,140
3,After FS-DR,KNN,0.9345 ± 0.0556,0.6827 ± 0.2604,140
3,After FS-DR,MLP,0.9193 ± 0.0461,0.6374 ± 0.2515,140
3,After FS-DR,RF,0.9373 ± 0.0543,0.6857 ± 0.2629,140
3,After FS-DR,SVM,0.9027 ± 0.0386,0.5651 ± 0.2359,140
4,After FS-DR,DT,0.9242 ± 0.0528,0.6595 ± 0.2550,130
4,After FS-DR,KNN,0.9390 ± 0.0551,0.6964 ± 0.2654,130
4,After FS-DR,MLP,0.9237 ± 0.0448,0.6578 ± 0.2494,130
4,After FS-DR,RF,0.9419 ± 0.0537,0.7001 ± 0.2674,130
4,After FS-DR,SVM,0.9067 ± 0.0371,0.5851 ± 0.2330,130
5,After FS-DR,DT,0.9320 ± 0.0472,0.6803 ± 0.2545,120
5,After FS-DR,KNN,0.9467 ± 0.0501,0.7184 ± 0.2645,120
5,After FS-DR,MLP,0.9304 ± 0.0399,0.6864 ± 0.2381,120
5,After FS-DR,RF,0.9497 ± 0.0481,0.7231 ± 0.2657,120
5,After FS-DR,SVM,0.9119 ± 0.0336,0.6118 ± 0.2226,120
6,After FS-DR,DT,0.9294 ± 0.0484,0.6589 ± 0.2552,110
6,After FS-DR,KNN,0.9444 ± 0.0517,0.6988 ± 0.2677,110
6,After FS-DR,MLP,0.9301 ± 0.0416,0.6685 ± 0.2408,110
6,After FS-DR,RF,0.9472 ± 0.0495,0.7031 ± 0.2686,110
